Year,Odometer,Location,Price 
2016,5500,Auckland,63990 
2016,6200,Auckland,47995 
2016,9200,Auckland,48990 
2016,9600,Auckland,52950 
2016,9900,Auckland,53990 
2016,10000,Auckland,56990 
2016,10900,Auckland,51490 
2016,10928,Taranaki,52990 
2016,11200,Auckland,51990 
2016,11500,Marlborough,52990 
2016,12500,Auckland,51990 
2016,12900,Auckland,52990 
2016,12900,Auckland,51490 
2016,13500,Auckland,47990 
2016,14000,Manawatu,51875 
2016,15000,Hawkes Bay,51500 
2016,32900,Auckland,47990 
2015,43500,Auckland,45990 
2013,47905,Southland,39990 
2014,61800,Auckland,43990 
2014,66000,Southland,39990 
2011,87500,Waikato,29990 
2013,134558,Auckland,36995 
2009,158765,Auckland,28990 
